jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-06-25,-379.20500000000004,723.009,203.85500000000002,-268.95399999999995,-397.857,642.146,-659.729,-261.79,928.9,-771.568,104.505,137.153
2016-06-26,-379.398,723.6120000000001,210.815,-269.34799999999996,-398.16499999999996,639.343,-659.497,-261.48199999999997,932.424,-772.734,104.723,129.635
2016-06-27,-378.98699999999997,723.622,207.427,-270.227,-399.21599999999995,636.718,-658.839,-260.766,927.323,-772.683,104.10799999999999,127.673
2016-06-28,-378.009,722.911,205.56199999999998,-270.25,-398.48699999999997,632.0210000000001,-657.706,-262.549,926.8,-769.355,103.14200000000001,126.911
2016-06-29,-379.96,724.063,208.143,-272.32800000000003,-398.034,636.581,-660.2249999999999,-261.81,927.116,-772.81,103.825,131.97500000000002
2016-06-30,-378.566,724.638,210.05700000000002,-271.462,-398.85900000000004,634.8520000000001,-658.2620000000001,-261.549,926.0139999999999,-769.8810000000001,103.327,126.54400000000001
2016-07-01,-378.239,724.108,207.5,-271.301,-399.44,630.029,-657.485,-261.286,926.006,-770.122,104.059,129.624
2016-07-02,-380.438,722.304,203.36700000000002,-272.98,-401.001,635.005,-659.612,-262.49,924.959,-770.971,103.73900000000002,124.78900000000002
2016-07-03,-378.588,725.4470000000001,207.79699999999997,-268.933,-394.572,635.838,-658.269,-259.701,920.895,-769.756,106.39500000000001,126.827
2016-07-04,-378.92199999999997,726.3,209.41899999999998,-269.71799999999996,-393.97600000000006,639.2379999999999,-658.198,-259.685,926.523,-770.756,105.67699999999999,132.906
2016-07-05,-381.65900000000005,725.09,207.56,-272.058,-394.677,637.049,-661.1819999999999,-260.851,924.0959999999999,-773.216,105.093,131.404
2016-07-06,-381.739,724.288,199.702,-272.606,-394.50100000000003,630.784,-660.208,-260.952,919.048,-772.9050000000001,105.458,125.20599999999999
2016-07-07,-377.387,724.768,200.019,-270.269,-392.541,632.173,-657.395,-258.806,922.9639999999999,-770.897,107.574,123.36
2016-07-08,-380.38,724.841,206.81900000000002,-271.308,-394.675,629.467,-659.538,-260.733,922.7950000000001,-771.64,105.723,122.19800000000001
2016-07-09,-380.162,724.817,205.749,-271.486,-393.532,630.401,-659.7460000000001,-260.96599999999995,923.0930000000001,-771.918,106.47899999999998,120.11099999999999
2016-07-10,-380.61899999999997,726.37,202.209,-272.469,-392.12800000000004,631.4,-661.146,-259.73600000000005,920.7379999999999,-772.573,107.205,123.78
